"alcohol","volatile.acidity","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","bad"
9.1,0.35,0.11,14,138,1
10,0.24,0.043,17,101,1
9.5,0.24,0.046,31,145,1
10.1,0.15,0.029,10,64,1
10.2,0.28,0.038,27,128,0
10.9,0.21,0.057,21,138,1
12.4,0.28,0.042,16,85,0
12.7,0.32,0.027,35,138,0
10.6,0.18,0.058,64,188,0
10.9,0.21,0.046,40,121,0
12.3,0.34,0.034,29,99,0
8.9,0.28,0.052,55,211,0
12.4,0.285,0.035,64,138,0
9.2,0.38,0.047,41,151,1
11.5,0.25,0.051,18,129,0
9.5,0.23,0.038,59,186,0
9.6,0.35,0.055,53,177,1
13.4,0.34,0.02,18,68,0
11.3,0.17,0.03,22,111,0
9.5,0.26,0.045,62,209,0
12,0.2,0.019,4,28,0
10.6,0.41,0.032,54,136,0
9.8,0.23,0.051,72,177,1
10,0.15,0.043,21,159,1
12,0.2,0.048,24,87,0
9.6,0.15,0.047,21,98,0
8.9,0.2,0.055,51,170,0
8.9,0.27,0.041,61,230,1
10,0.17,0.054,56,137,1
11,0.2,0.016,31,101,0
9.7,0.26,0.039,38,172,0
11.2,0.13,0.043,63,146,0
12.1,0.28,0.035,8,70,0
10.8,0.23,0.043,46,110,0
10.7,0.17,0.029,39,128,0
10.8,0.25,0.024,53,209,0
12,0.27,0.033,11,63,1
10.4,0.32,0.046,38,133,0
10.4,0.6,0.05,11,76,1
9.3,0.13,0.039,19,103,0
9.2,0.34,0.044,17,63,1
11.3,0.34,0.033,17,171,0
9.7,0.31,0.046,45,178,1
12.5,0.21,0.03,36,91,0
11.3,0.44,0.031,41,167,0
8.8,0.17,0.053,43,145,0
12.7,0.3,0.042,41,142,0
9,0.23,0.051,33,118,0
10.9,0.27,0.046,6,41,0
9.5,0.24,0.054,47,182,1
10,0.46,0.046,34,144,1
11.4,0.23,0.044,12,113,1
10.7,0.23,0.043,19,95,0
10.5,0.24,0.048,27,131,1
8.8,0.32,0.05,52,204,1
9.4,0.38,0.061,42,214,1
9.9,0.33,0.028,34,163,1
12.6,0.36,0.032,13,73,0
9.2,0.34,0.04,45,215,0
12,0.3,0.043,52,154,0
13,0.38,0.021,38,113,0
9.4,0.27,0.049,35,200,1
11.6,0.36,0.028,40,132,0
9,0.36,0.044,42,115,1
10.9,0.26,0.051,52,195,0
10.4,0.15,0.046,22,130,0
9,0.25,0.067,53,178,0
11.3,0.24,0.042,105,179,0
13.4,0.22,0.16,34,74,0
8.7,0.32,0.05,49,197,1
9.4,0.27,0.053,44,177,1
9.1,0.16,0.042,26,176,1
10.7,0.105,0.035,44,140,0
11.1,0.28,0.037,16,76,1
10.6,0.21,0.035,36,122,0
9.1,0.24,0.05,26,180,0
8.5,0.18,0.054,56,183,0
9.5,0.24,0.062,33,152,0
11.2,0.22,0.041,20,119,0
10.3,0.23,0.042,16,108,0
9.2,0.38,0.06,27,113,1
10,0.26,0.05,34,150,0
10.2,0.22,0.047,47,185,0
10.3,0.28,0.044,11,126,1
9,0.28,0.049,48,122,1
10.7,0.24,0.04,16,131,0
10.1,0.24,0.042,56,157,0
12.5,0.19,0.029,39,116,0
13.5,0.2,0.028,21,75,0
9.2,0.28,0.053,25,148,1
9.3,0.3,0.039,31,119,0
11.7,0.24,0.032,42,104,0
9.3,0.24,0.053,45,149,1
9,0.23,0.051,33,118,0
9.4,0.28,0.04,44,179,0
10,0.32,0.041,37,146,1
9.1,0.28,0.049,62,162.5,0
11.8,0.44,0.057,60,160,0
12.4,0.26,0.038,13,111,0
11.5,0.21,0.038,27,107,0
